From,To,Distance
Customer 1331947,Customer 2119726,1.88
Customer 2119726,Customer 2561510,8.85
Customer 2561510,Customer 2119726,8.85
Customer 2119726,Customer 3639929,3.15
Customer 3639929,Customer 2119726,3.15
Customer 2119726,Customer 884300,2.14
Customer 884300,Customer 2119726,2.14
Customer 2119726,Customer 1972934,2.29
Customer 1972934,Customer 2119726,2.29
Customer 2119726,Customer 3024356,2.15
Customer 3024356,Customer 2119726,2.15
Customer 0,Customer 1898768,1.02
Customer 1898768,Customer 0,1.02
Customer 1898768,Customer 2977295,2.85
Customer 2977295,Customer 1898768,2.85
Customer 1898768,Customer 98750,1.29
Customer 98750,Customer 1898768,1.29
Customer 1898768,Customer 1967889,0.38
Customer 1967889,Customer 1898768,0.38
Customer 1898768,Customer 512980,1.19
Customer 512980,Customer 1898768,1.19
Customer 1898768,Customer 1163945,0.24
Customer 1163945,Customer 1898768,0.24
Customer 1898768,Customer 4312189,1.37
Customer 4312189,Customer 1898768,1.37
Customer 1898768,Customer 2918628,0.98
Customer 2918628,Customer 1898768,0.98
Customer 1898768,Customer 2752609,1.57
Customer 2752609,Customer 1898768,1.57
Customer 1898768,Customer 689448,1.28
Customer 689448,Customer 1898768,1.28
Customer 1898768,Customer 619869,5.35
Customer 619869,Customer 1898768,5.35
Customer 1898768,Customer 323232,1.48
Customer 323232,Customer 1898768,1.48
Customer 1898768,Customer 3143754,0.64
Customer 3143754,Customer 1898768,0.64
Customer 1898768,Customer 2686188,1.96
Customer 2686188,Customer 1898768,1.96
Customer 1898768,Customer 66954,2.11
Customer 66954,Customer 1898768,2.11
Customer 1898768,Customer 1331947,1.5
Customer 1331947,Customer 1898768,1.5
Customer 1898768,Customer 2561510,8.76
Customer 2561510,Customer 1898768,8.76
Customer 1898768,Customer 3639929,3.2
Customer 3639929,Customer 1898768,3.2
Customer 1898768,Customer 884300,1.77
Customer 884300,Customer 1898768,1.77
Customer 1898768,Customer 1972934,2.39
Customer 1972934,Customer 1898768,2.39
Customer 1898768,Customer 3024356,1.78
Customer 3024356,Customer 1898768,1.78
Customer 0,Customer 2977295,2.51
Customer 2977295,Customer 0,2.51
Customer 2977295,Customer 98750,2.19
Customer 98750,Customer 2977295,2.19
Customer 2977295,Customer 1967889,2.96
Customer 1967889,Customer 2977295,2.96
Customer 2977295,Customer 512980,4.02
Customer 512980,Customer 2977295,4.02
Customer 2977295,Customer 1163945,3.08
Customer 1163945,Customer 2977295,3.08
Customer 2977295,Customer 4312189,1.49
Customer 4312189,Customer 2977295,1.49
Customer 2977295,Customer 2918628,3.83
Customer 2918628,Customer 2977295,3.83
Customer 2977295,Customer 2752609,1.5
Customer 2752609,Customer 2977295,1.5
Customer 2977295,Customer 689448,2.69
Customer 689448,Customer 2977295,2.69
Customer 2977295,Customer 619869,5.54
Customer 619869,Customer 2977295,5.54
Customer 2977295,Customer 323232,2.39
Customer 323232,Customer 2977295,2.39
Customer 2977295,Customer 3143754,2.2
Customer 3143754,Customer 2977295,2.2
Customer 2977295,Customer 2686188,1.92
Customer 2686188,Customer 2977295,1.92
Customer 2977295,Customer 66954,4.73
Customer 66954,Customer 2977295,4.73
Customer 2977295,Customer 1331947,2.04
Customer 1331947,Customer 2977295,2.04
Customer 2977295,Customer 2561510,6.02
Customer 2561510,Customer 2977295,6.02
Customer 2977295,Customer 3639929,1.92
Customer 3639929,Customer 2977295,1.92
Customer 2977295,Customer 884300,2.06
Customer 884300,Customer 2977295,2.06
Customer 2977295,Customer 1972934,2.05
Customer 1972934,Customer 2977295,2.05
Customer 2977295,Customer 3024356,2.03
Customer 3024356,Customer 2977295,2.03
Customer 0,Customer 98750,1.88
Customer 98750,Customer 0,1.88
Customer 98750,Customer 1967889,1.13
Customer 1967889,Customer 98750,1.13
Customer 98750,Customer 512980,2.35
Customer 512980,Customer 98750,2.35
Customer 98750,Customer 1163945,1.46
Customer 1163945,Customer 98750,1.46
Customer 98750,Customer 4312189,0.96
Customer 4312189,Customer 98750,0.96
Customer 98750,Customer 2918628,2.11
Customer 2918628,Customer 98750,2.11
Customer 98750,Customer 2752609,1.63
Customer 2752609,Customer 98750,1.63
Customer 98750,Customer 689448,0.5
Customer 689448,Customer 98750,0.5
Customer 98750,Customer 619869,6.2
Customer 619869,Customer 98750,6.2
Customer 98750,Customer 323232,2.19
Customer 323232,Customer 98750,2.19
Customer 98750,Customer 3143754,0.98
Customer 3143754,Customer 98750,0.98
Customer 98750,Customer 2686188,2.34
Customer 2686188,Customer 98750,2.34
Customer 98750,Customer 66954,3.38
Customer 66954,Customer 98750,3.38
Customer 98750,Customer 1331947,0.23
Customer 1331947,Customer 98750,0.23
Customer 98750,Customer 2561510,8.2
Customer 2561510,Customer 98750,8.2
Customer 98750,Customer 3639929,3.32
Customer 3639929,Customer 98750,3.32
Customer 98750,Customer 884300,0.48
Customer 884300,Customer 98750,0.48
Customer 98750,Customer 1972934,2.76
Customer 1972934,Customer 98750,2.76
Customer 98750,Customer 3024356,0.49
Customer 3024356,Customer 98750,0.49
Customer 0,Customer 1967889,1.39
Customer 1967889,Customer 0,1.39
Customer 1967889,Customer 512980,1.22
Customer 512980,Customer 1967889,1.22
Customer 1967889,Customer 1163945,0.39
Customer 1163945,Customer 1967889,0.39
Customer 1967889,Customer 4312189,1.48
Customer 4312189,Customer 1967889,1.48
Customer 1967889,Customer 2918628,0.98
Customer 2918628,Customer 1967889,0.98
Customer 1967889,Customer 2752609,1.82
Customer 2752609,Customer 1967889,1.82
Customer 1967889,Customer 689448,0.98
Customer 689448,Customer 1967889,0.98
Customer 1967889,Customer 619869,5.73
Customer 619869,Customer 1967889,5.73
Customer 1967889,Customer 323232,1.84
Customer 323232,Customer 1967889,1.84
Customer 1967889,Customer 3143754,0.83
Customer 3143754,Customer 1967889,0.83
Customer 1967889,Customer 2686188,2.29
Customer 2686188,Customer 1967889,2.29
Customer 1967889,Customer 66954,2.27
Customer 66954,Customer 1967889,2.27
Customer 1967889,Customer 1331947,1.35
Customer 1331947,Customer 1967889,1.35
Customer 1967889,Customer 2561510,8.94
Customer 2561510,Customer 1967889,8.94
Customer 1967889,Customer 3639929,3.5
Customer 3639929,Customer 1967889,3.5
Customer 1967889,Customer 884300,1.6
Customer 884300,Customer 1967889,1.6
Customer 1967889,Customer 1972934,2.73
Customer 1972934,Customer 1967889,2.73
Customer 1967889,Customer 3024356,1.61
Customer 3024356,Customer 1967889,1.61
Customer 0,Customer 512980,1.81
Customer 512980,Customer 0,1.81
Customer 512980,Customer 1163945,0.96
Customer 1163945,Customer 512980,0.96
Customer 512980,Customer 4312189,2.56
Customer 4312189,Customer 512980,2.56
Customer 512980,Customer 2918628,0.25
Customer 2918628,Customer 512980,0.25
Customer 512980,Customer 2752609,2.66
Customer 2752609,Customer 512980,2.66
Customer 512980,Customer 689448,2.13
Customer 689448,Customer 512980,2.13
Customer 512980,Customer 619869,5.52
Customer 619869,Customer 512980,5.52
Customer 512980,Customer 323232,2.23
Customer 323232,Customer 512980,2.23
Customer 512980,Customer 3143754,1.83
Customer 3143754,Customer 512980,1.83
Customer 512980,Customer 2686188,2.85
Customer 2686188,Customer 512980,2.85
Customer 512980,Customer 66954,1.15
Customer 66954,Customer 512980,1.15
Customer 512980,Customer 1331947,2.58
Customer 1331947,Customer 512980,2.58
Customer 512980,Customer 2561510,9.87
Customer 2561510,Customer 512980,9.87
Customer 512980,Customer 3639929,4.11
Customer 3639929,Customer 512980,4.11
Customer 512980,Customer 884300,2.81
Customer 884300,Customer 512980,2.81
Customer 512980,Customer 1972934,3.23
Customer 1972934,Customer 512980,3.23
Customer 512980,Customer 3024356,2.83
Customer 3024356,Customer 512980,2.83
Customer 0,Customer 1163945,1.16
Customer 1163945,Customer 0,1.16
Customer 1163945,Customer 4312189,1.6
Customer 4312189,Customer 1163945,1.6
Customer 1163945,Customer 2918628,0.75
Customer 2918628,Customer 1163945,0.75
Customer 1163945,Customer 2752609,1.8
Customer 2752609,Customer 1163945,1.8
Customer 1163945,Customer 689448,1.37
Customer 689448,Customer 1163945,1.37
Customer 1163945,Customer 619869,5.41
Customer 619869,Customer 1163945,5.41
Customer 1163945,Customer 323232,1.62
Customer 323232,Customer 1163945,1.62
Customer 1163945,Customer 3143754,0.88
Customer 3143754,Customer 1163945,0.88
Customer 1163945,Customer 2686188,2.15
Customer 2686188,Customer 1163945,2.15
Customer 1163945,Customer 66954,1.92
Customer 66954,Customer 1163945,1.92
Customer 1163945,Customer 1331947,1.68
Customer 1331947,Customer 1163945,1.68
Customer 1163945,Customer 2561510,8.99
Customer 2561510,Customer 1163945,8.99
Customer 1163945,Customer 3639929,3.4
Customer 3639929,Customer 1163945,3.4
Customer 1163945,Customer 884300,1.93
Customer 884300,Customer 1163945,1.93
Customer 1163945,Customer 1972934,2.57
Customer 1972934,Customer 1163945,2.57
Customer 1163945,Customer 3024356,1.95
Customer 3024356,Customer 1163945,1.95
Customer 0,Customer 4312189,1.32
Customer 4312189,Customer 0,1.32
Customer 4312189,Customer 2918628,2.35
Customer 2918628,Customer 4312189,2.35
Customer 4312189,Customer 2752609,0.7
Customer 2752609,Customer 4312189,0.7
Customer 4312189,Customer 689448,1.42
Customer 689448,Customer 4312189,1.42
Customer 4312189,Customer 619869,5.37
Customer 619869,Customer 4312189,5.37
Customer 4312189,Customer 323232,1.47
Customer 323232,Customer 4312189,1.47
Customer 4312189,Customer 3143754,0.73
Customer 3143754,Customer 4312189,0.73
Customer 4312189,Customer 2686188,1.44
Customer 2686188,Customer 4312189,1.44
Customer 4312189,Customer 66954,3.36
Customer 66954,Customer 4312189,3.36
Customer 4312189,Customer 1331947,0.96
Customer 1331947,Customer 4312189,0.96
Customer 4312189,Customer 2561510,7.47
Customer 2561510,Customer 4312189,7.47
Customer 4312189,Customer 3639929,2.35
Customer 3639929,Customer 4312189,2.35
Customer 4312189,Customer 884300,1.17
Customer 884300,Customer 4312189,1.17
Customer 4312189,Customer 1972934,1.84
Customer 1972934,Customer 4312189,1.84
Customer 4312189,Customer 3024356,1.15
Customer 3024356,Customer 4312189,1.15
Customer 0,Customer 2918628,1.71
Customer 2918628,Customer 0,1.71
Customer 2918628,Customer 2752609,2.5
Customer 2752609,Customer 2918628,2.5
Customer 2918628,Customer 689448,1.88
Customer 689448,Customer 2918628,1.88
Customer 2918628,Customer 619869,5.59
Customer 619869,Customer 2918628,5.59
Customer 2918628,Customer 323232,2.15
Customer 323232,Customer 2918628,2.15
Customer 2918628,Customer 3143754,1.62
Customer 3143754,Customer 2918628,1.62
Customer 2918628,Customer 2686188,2.75
Customer 2686188,Customer 2918628,2.75
Customer 2918628,Customer 66954,1.39
Customer 66954,Customer 2918628,1.39
Customer 2918628,Customer 1331947,2.33
Customer 1331947,Customer 2918628,2.33
Customer 2918628,Customer 2561510,9.71
Customer 2561510,Customer 2918628,9.71
Customer 2918628,Customer 3639929,4.01
Customer 3639929,Customer 2918628,4.01
Customer 2918628,Customer 884300,2.57
Customer 884300,Customer 2918628,2.57
Customer 2918628,Customer 1972934,3.14
Customer 1972934,Customer 2918628,3.14
Customer 2918628,Customer 3024356,2.59
Customer 3024356,Customer 2918628,2.59
Customer 0,Customer 2752609,1.01
Customer 2752609,Customer 0,1.01
Customer 2752609,Customer 689448,2.04
Customer 689448,Customer 2752609,2.04
Customer 2752609,Customer 619869,4.69
Customer 619869,Customer 2752609,4.69
Customer 2752609,Customer 323232,0.94
Customer 323232,Customer 2752609,0.94
Customer 2752609,Customer 3143754,1.0
Customer 3143754,Customer 2752609,1.0
Customer 2752609,Customer 2686188,0.74
Customer 2686188,Customer 2752609,0.74
Customer 2752609,Customer 66954,3.25
Customer 66954,Customer 2752609,3.25
Customer 2752609,Customer 1331947,1.65
Customer 1331947,Customer 2752609,1.65
Customer 2752609,Customer 2561510,7.21
Customer 2561510,Customer 2752609,7.21
Customer 2752609,Customer 3639929,1.73
Customer 3639929,Customer 2752609,1.73
Customer 2752609,Customer 884300,1.86
Customer 884300,Customer 2752609,1.86
Customer 2752609,Customer 1972934,1.14
Customer 1972934,Customer 2752609,1.14
Customer 2752609,Customer 3024356,1.85
Customer 3024356,Customer 2752609,1.85
Customer 0,Customer 689448,2.09
Customer 689448,Customer 0,2.09
Customer 689448,Customer 619869,6.47
Customer 619869,Customer 689448,6.47
Customer 689448,Customer 323232,2.46
Customer 323232,Customer 689448,2.46
Customer 689448,Customer 3143754,1.22
Customer 3143754,Customer 689448,1.22
Customer 689448,Customer 2686188,2.71
Customer 2686188,Customer 689448,2.71
Customer 689448,Customer 66954,3.24
Customer 66954,Customer 689448,3.24
Customer 689448,Customer 1331947,0.67
Customer 1331947,Customer 689448,0.67
Customer 689448,Customer 2561510,8.7
Customer 2561510,Customer 689448,8.7
Customer 689448,Customer 3639929,3.76
Customer 3639929,Customer 689448,3.76
Customer 689448,Customer 884300,0.79
Customer 884300,Customer 689448,0.79
Customer 689448,Customer 1972934,3.15
Customer 1972934,Customer 689448,3.15
Customer 689448,Customer 3024356,0.82
Customer 3024356,Customer 689448,0.82
Customer 0,Customer 619869,4.39
Customer 619869,Customer 0,4.39
Customer 619869,Customer 323232,4.01
Customer 323232,Customer 619869,4.01
Customer 619869,Customer 3143754,5.25
Customer 3143754,Customer 619869,5.25
Customer 619869,Customer 2686188,3.95
Customer 2686188,Customer 619869,3.95
Customer 619869,Customer 66954,4.9
Customer 66954,Customer 619869,4.9
Customer 619869,Customer 1331947,6.28
Customer 1331947,Customer 619869,6.28
Customer 619869,Customer 2561510,8.13
Customer 2561510,Customer 619869,8.13
Customer 619869,Customer 3639929,3.66
Customer 3639929,Customer 619869,3.66
Customer 619869,Customer 884300,6.52
Customer 884300,Customer 619869,6.52
Customer 619869,Customer 1972934,3.6
Customer 1972934,Customer 619869,3.6
Customer 619869,Customer 3024356,6.51
Customer 3024356,Customer 619869,6.51
Customer 0,Customer 323232,0.46
Customer 323232,Customer 0,0.46
Customer 323232,Customer 3143754,1.24
Customer 3143754,Customer 323232,1.24
Customer 323232,Customer 2686188,0.66
Customer 2686188,Customer 323232,0.66
Customer 323232,Customer 66954,2.52
Customer 66954,Customer 323232,2.52
Customer 323232,Customer 1331947,2.29
Customer 1331947,Customer 323232,2.29
Customer 323232,Customer 2561510,7.76
Customer 2561510,Customer 323232,7.76
Customer 323232,Customer 3639929,1.89
Customer 3639929,Customer 323232,1.89
Customer 323232,Customer 884300,2.55
Customer 884300,Customer 323232,2.55
Customer 323232,Customer 1972934,1.0
Customer 1972934,Customer 323232,1.0
Customer 323232,Customer 3024356,2.54
Customer 3024356,Customer 323232,2.54
Customer 0,Customer 3143754,0.89
Customer 3143754,Customer 0,0.89
Customer 3143754,Customer 2686188,1.54
Customer 2686188,Customer 3143754,1.54
Customer 3143754,Customer 66954,2.65
Customer 66954,Customer 3143754,2.65
Customer 3143754,Customer 1331947,1.14
Customer 1331947,Customer 3143754,1.14
Customer 3143754,Customer 2561510,8.13
Customer 2561510,Customer 3143754,8.13
Customer 3143754,Customer 3639929,2.7
Customer 3639929,Customer 3143754,2.7
Customer 3143754,Customer 884300,1.41
Customer 884300,Customer 3143754,1.41
Customer 3143754,Customer 1972934,1.98
Customer 1972934,Customer 3143754,1.98
Customer 3143754,Customer 3024356,1.41
Customer 3024356,Customer 3143754,1.41
Customer 0,Customer 2686188,1.04
Customer 2686188,Customer 0,1.04
Customer 2686188,Customer 66954,3.18
Customer 66954,Customer 2686188,3.18
Customer 2686188,Customer 1331947,2.38
Customer 1331947,Customer 2686188,2.38
Customer 2686188,Customer 2561510,7.11
Customer 2561510,Customer 2686188,7.11
Customer 2686188,Customer 3639929,1.26
Customer 3639929,Customer 2686188,1.26
Customer 2686188,Customer 884300,2.6
Customer 884300,Customer 2686188,2.6
Customer 2686188,Customer 1972934,0.45
Customer 1972934,Customer 2686188,0.45
Customer 2686188,Customer 3024356,2.59
Customer 3024356,Customer 2686188,2.59
Customer 0,Customer 66954,2.25
Customer 66954,Customer 0,2.25
Customer 66954,Customer 1331947,3.6
Customer 1331947,Customer 66954,3.6
Customer 66954,Customer 2561510,10.28
Customer 2561510,Customer 66954,10.28
Customer 66954,Customer 3639929,4.35
Customer 3639929,Customer 66954,4.35
Customer 66954,Customer 884300,3.86
Customer 884300,Customer 66954,3.86
Customer 66954,Customer 1972934,3.45
Customer 1972934,Customer 66954,3.45
Customer 66954,Customer 3024356,3.87
Customer 3024356,Customer 66954,3.87
Customer 0,Customer 1331947,2.01
Customer 1331947,Customer 0,2.01
Customer 1331947,Customer 2561510,8.04
Customer 2561510,Customer 1331947,8.04
Customer 1331947,Customer 3639929,3.29
Customer 3639929,Customer 1331947,3.29
Customer 1331947,Customer 884300,0.27
Customer 884300,Customer 1331947,0.27
Customer 1331947,Customer 1972934,2.8
Customer 1972934,Customer 1331947,2.8
Customer 1331947,Customer 3024356,0.28
Customer 3024356,Customer 1331947,0.28
Customer 0,Customer 2561510,8.1
Customer 2561510,Customer 0,8.1
Customer 2561510,Customer 3639929,5.96
Customer 3639929,Customer 2561510,5.96
Customer 2561510,Customer 884300,8.01
Customer 884300,Customer 2561510,8.01
Customer 2561510,Customer 1972934,6.84
Customer 1972934,Customer 2561510,6.84
Customer 2561510,Customer 3024356,7.97
Customer 3024356,Customer 2561510,7.97
Customer 0,Customer 3639929,2.3
Customer 3639929,Customer 0,2.3
Customer 3639929,Customer 884300,3.45
Customer 884300,Customer 3639929,3.45
Customer 3639929,Customer 1972934,0.91
Customer 1972934,Customer 3639929,0.91
Customer 3639929,Customer 3024356,3.43
Customer 3024356,Customer 3639929,3.43
Customer 0,Customer 884300,2.28
Customer 884300,Customer 0,2.28
Customer 884300,Customer 1972934,3.0
Customer 1972934,Customer 884300,3.0
Customer 884300,Customer 3024356,0.03
Customer 3024356,Customer 884300,0.03
Customer 0,Customer 1972934,1.43
Customer 1972934,Customer 0,1.43
Customer 1972934,Customer 3024356,2.99
Customer 3024356,Customer 1972934,2.99
Customer 0,Customer 3024356,2.28
Customer 3024356,Customer 0,2.28
